,Sex,Marital status,Age,Education,Income,Occupation,Settlement size,Cluster
853,Male,Single,32,other/unknown,69370,Unemployed/Unskilled,Small City,3
855,Male,Married,33,High School,117039,Skilled Employee/Official,Big city,0
856,Female,Married,40,University,107585,Skilled Employee/Official,Big city,2
857,Male,Single,28,other/unknown,114429,Skilled Employee/Official,Small City,1
858,Female,Married,29,High School,128234,Skilled Employee/Official,Big city,0
859,Male,Single,26,other/unknown,128580,Skilled Employee/Official,Big city,1
860,Male,Single,27,other/unknown,177757,Skilled Employee/Official,Mid-sized city,1
861,Male,Married,28,High School,106222,Skilled Employee/Official,Small City,0
862,Female,Married,35,High School,118428,Skilled Employee/Official,Big city,0
863,Male,Single,32,other/unknown,139477,Unemployed/Unskilled,Small City,3
864,Male,Single,25,other/unknown,71159,Unemployed/Unskilled,Small City,3
865,Female,Married,20,High School,131370,Skilled Employee/Official,Big city,0
866,Female,Married,27,High School,111567,Skilled Employee/Official,Big city,0
867,Male,Single,42,High School,125482,Skilled Employee/Official,Big city,1
868,Male,Single,37,High School,160642,Skilled Employee/Official,Big city,1
869,Female,Married,24,High School,92498,Skilled Employee/Official,Small City,0
871,Male,Single,46,High School,127588,Skilled Employee/Official,Big city,1
872,Male,Single,26,other/unknown,107508,Skilled Employee/Official,Big city,1
873,Female,Married,24,High School,94629,Skilled Employee/Official,Big city,0
874,Male,Single,29,other/unknown,87598,Unemployed/Unskilled,Big city,1
875,Female,Married,40,University,161194,Skilled Employee/Official,Mid-sized city,2
876,Male,Single,36,High School,137342,management / self-employed / highly qualified employee / officer,Big city,1
877,Male,Single,28,other/unknown,116848,Skilled Employee/Official,Mid-sized city,1
878,Male,Single,27,other/unknown,125190,management / self-employed / highly qualified employee / officer,Mid-sized city,1
879,Male,Single,36,High School,153441,Skilled Employee/Official,Small City,1
880,Male,Single,38,High School,195328,management / self-employed / highly qualified employee / officer,Big city,1
881,Male,Married,48,University,190413,Skilled Employee/Official,Small City,2
882,Male,Single,36,High School,118656,Skilled Employee/Official,Mid-sized city,1
884,Male,Married,43,University,145313,Skilled Employee/Official,Mid-sized city,2
885,Female,Married,53,University,117005,Skilled Employee/Official,Mid-sized city,2
886,Male,Single,34,High School,123243,Skilled Employee/Official,Mid-sized city,1
888,Male,Single,34,High School,180617,management / self-employed / highly qualified employee / officer,Big city,1
889,Male,Single,40,High School,167019,Skilled Employee/Official,Small City,1
890,Male,Single,43,High School,147745,management / self-employed / highly qualified employee / officer,Big city,1
891,Male,Single,46,High School,114254,Skilled Employee/Official,Mid-sized city,1
892,Male,Single,38,High School,81155,Unemployed/Unskilled,Small City,3
893,Male,Single,34,High School,151803,Skilled Employee/Official,Big city,1
894,Male,Single,29,other/unknown,94356,Skilled Employee/Official,Big city,1
896,Female,Married,28,High School,144448,management / self-employed / highly qualified employee / officer,Mid-sized city,0
897,Female,Married,35,High School,150797,Skilled Employee/Official,Small City,0
898,Female,Married,33,High School,84404,Unemployed/Unskilled,Small City,3
899,Male,Single,42,High School,133373,Skilled Employee/Official,Big city,1
900,Male,Single,43,High School,119502,Skilled Employee/Official,Big city,1
901,Male,Married,44,University,131619,Skilled Employee/Official,Small City,2
902,Male,Single,42,High School,194084,Skilled Employee/Official,Big city,1
903,Male,Married,40,High School,108278,Skilled Employee/Official,Mid-sized city,0
904,Male,Single,36,High School,130987,management / self-employed / highly qualified employee / officer,Mid-sized city,1
905,Male,Single,20,other/unknown,116582,management / self-employed / highly qualified employee / officer,Big city,1
906,Male,Single,24,other/unknown,85270,Unemployed/Unskilled,Small City,3
907,Male,Married,27,High School,129227,Skilled Employee/Official,Small City,0
908,Female,Married,46,University,108291,Unemployed/Unskilled,Small City,2
909,Female,Married,33,High School,103091,Unemployed/Unskilled,Small City,3
910,Female,Married,34,High School,136975,Skilled Employee/Official,Mid-sized city,0
911,Female,Married,25,High School,111502,Unemployed/Unskilled,Small City,3
912,Female,Married,25,High School,124750,Skilled Employee/Official,Mid-sized city,0
913,Male,Married,28,High School,146463,Skilled Employee/Official,Big city,0
914,Male,Single,31,other/unknown,115075,Skilled Employee/Official,Small City,1
916,Male,Single,32,other/unknown,126368,Skilled Employee/Official,Small City,1
918,Male,Married,33,High School,125535,Skilled Employee/Official,Big city,0
919,Male,Single,39,High School,153223,management / self-employed / highly qualified employee / officer,Big city,1
920,Female,Married,28,High School,106873,Skilled Employee/Official,Mid-sized city,0
922,Female,Married,22,High School,97757,Skilled Employee/Official,Big city,0
923,Male,Single,30,other/unknown,112151,Skilled Employee/Official,Mid-sized city,1
924,Male,Married,55,University,172909,Skilled Employee/Official,Small City,2
925,Male,Single,46,High School,103387,Skilled Employee/Official,Mid-sized city,1
926,Female,Married,21,High School,93916,Skilled Employee/Official,Big city,0
927,Male,Single,39,High School,189963,Skilled Employee/Official,Big city,1
928,Male,Single,58,University,124191,Skilled Employee/Official,Small City,2
929,Male,Single,43,High School,77205,Unemployed/Unskilled,Small City,3
930,Male,Single,24,other/unknown,65917,Unemployed/Unskilled,Small City,3
931,Female,Married,22,High School,109676,Skilled Employee/Official,Small City,0
932,Male,Single,30,other/unknown,95682,Skilled Employee/Official,Big city,1
933,Male,Single,42,High School,125516,Skilled Employee/Official,Big city,1
934,Female,Married,23,High School,99822,Skilled Employee/Official,Small City,0
935,Male,Single,30,other/unknown,154854,management / self-employed / highly qualified employee / officer,Mid-sized city,1
936,Female,Married,28,High School,84582,Unemployed/Unskilled,Small City,3
937,Male,Married,30,High School,145800,management / self-employed / highly qualified employee / officer,Small City,0
938,Male,Single,42,High School,162869,Skilled Employee/Official,Mid-sized city,1
939,Male,Single,46,High School,192379,management / self-employed / highly qualified employee / officer,Big city,1
940,Male,Single,45,High School,159757,management / self-employed / highly qualified employee / officer,Big city,1
941,Male,Single,31,other/unknown,69571,Unemployed/Unskilled,Small City,3
942,Male,Single,31,other/unknown,93648,Skilled Employee/Official,Big city,1
943,Male,Single,42,High School,77472,Unemployed/Unskilled,Small City,3
944,Female,Married,46,University,121501,Skilled Employee/Official,Small City,2
946,Male,Single,30,other/unknown,143082,Skilled Employee/Official,Big city,1
947,Male,Single,38,High School,147760,management / self-employed / highly qualified employee / officer,Mid-sized city,1
948,Male,Married,43,University,82082,Unemployed/Unskilled,Small City,2
949,Male,Single,31,other/unknown,132991,Skilled Employee/Official,Mid-sized city,1
950,Male,Married,40,High School,78436,Unemployed/Unskilled,Small City,3
951,Male,Single,24,other/unknown,99737,Skilled Employee/Official,Big city,1
952,Female,Married,28,High School,164915,Skilled Employee/Official,Small City,0
954,Female,Married,29,High School,108400,Skilled Employee/Official,Big city,0
955,Female,Married,57,University,194882,management / self-employed / highly qualified employee / officer,Mid-sized city,2
956,Male,Single,49,High School,122186,Unemployed/Unskilled,Small City,3
957,Male,Single,37,High School,79594,Unemployed/Unskilled,Small City,3
958,Male,Single,45,High School,104355,Unemployed/Unskilled,Small City,3
959,Male,Single,30,other/unknown,135894,Skilled Employee/Official,Big city,1
960,Male,Married,30,High School,103699,Skilled Employee/Official,Mid-sized city,0
961,Male,Married,47,University,132145,Skilled Employee/Official,Mid-sized city,2
962,Male,Single,29,other/unknown,117272,Skilled Employee/Official,Big city,1
963,Male,Single,35,High School,137932,Skilled Employee/Official,Small City,1
964,Male,Married,22,High School,63972,Unemployed/Unskilled,Small City,3
965,Female,Married,26,High School,113299,Skilled Employee/Official,Big city,0
966,Male,Single,23,other/unknown,108540,Unemployed/Unskilled,Small City,3
967,Female,Married,54,University,174424,management / self-employed / highly qualified employee / officer,Big city,2
968,Male,Married,29,High School,154991,Skilled Employee/Official,Big city,0
969,Male,Single,40,High School,99723,Unemployed/Unskilled,Small City,3
970,Male,Single,22,other/unknown,114584,Skilled Employee/Official,Big city,1
971,Male,Single,43,High School,135275,Unemployed/Unskilled,Small City,3
972,Female,Married,29,High School,41680,Unemployed/Unskilled,Small City,3
973,Male,Single,36,High School,158769,Skilled Employee/Official,Mid-sized city,1
974,Female,Married,33,High School,120596,Skilled Employee/Official,Small City,0
975,Female,Married,57,University,139641,Unemployed/Unskilled,Small City,2
976,Female,Married,64,Graduate School,134377,Skilled Employee/Official,Small City,2
977,Male,Single,42,High School,125804,Skilled Employee/Official,Big city,1
978,Male,Single,47,High School,91858,Unemployed/Unskilled,Small City,3
979,Male,Married,25,High School,117641,Skilled Employee/Official,Big city,0
980,Male,Single,49,High School,188594,Skilled Employee/Official,Mid-sized city,1
981,Male,Single,33,High School,162827,management / self-employed / highly qualified employee / officer,Big city,1
982,Female,Married,28,High School,178991,management / self-employed / highly qualified employee / officer,Big city,0
983,Male,Single,26,other/unknown,159739,Skilled Employee/Official,Mid-sized city,1
984,Male,Single,30,other/unknown,73401,Unemployed/Unskilled,Small City,3
985,Female,Married,25,High School,100794,Skilled Employee/Official,Big city,0
986,Male,Married,33,High School,167763,Skilled Employee/Official,Mid-sized city,0
987,Female,Married,64,Graduate School,145174,Skilled Employee/Official,Small City,2
988,Male,Single,29,other/unknown,176292,management / self-employed / highly qualified employee / officer,Mid-sized city,1
989,Male,Single,48,High School,94024,Unemployed/Unskilled,Small City,3
990,Male,Single,37,High School,93740,Unemployed/Unskilled,Small City,3
991,Male,Single,34,High School,85685,Unemployed/Unskilled,Small City,3
992,Male,Married,23,High School,69997,Unemployed/Unskilled,Small City,3
993,Male,Single,30,other/unknown,151938,management / self-employed / highly qualified employee / officer,Big city,1
994,Male,Single,50,High School,122830,Skilled Employee/Official,Mid-sized city,1
995,Female,Married,31,High School,78489,Unemployed/Unskilled,Small City,3
996,Male,Married,40,High School,161999,management / self-employed / highly qualified employee / officer,Mid-sized city,1
997,Male,Single,38,High School,98032,Skilled Employee/Official,Big city,1
998,Male,Single,23,other/unknown,96060,Skilled Employee/Official,Small City,1
999,Male,Single,27,other/unknown,147968,Skilled Employee/Official,Mid-sized city,1
1000,Female,Married,63,University,134853,Skilled Employee/Official,Mid-sized city,2
1006,Male,Single,60,University,136671,Skilled Employee/Official,Mid-sized city,2
1007,Male,Married,62,University,174337,Skilled Employee/Official,Mid-sized city,2
1008,Female,Married,58,University,126710,Skilled Employee/Official,Mid-sized city,2
1009,Female,Married,43,University,167139,management / self-employed / highly qualified employee / officer,Big city,2
1010,Male,Single,64,University,122094,Skilled Employee/Official,Big city,2
1011,Male,Married,37,Graduate School,170113,management / self-employed / highly qualified employee / officer,Big city,2
1012,Female,Married,46,University,192698,management / self-employed / highly qualified employee / officer,Mid-sized city,2
1013,Male,Married,57,University,144197,Skilled Employee/Official,Big city,2
1014,Male,Married,51,University,133623,Skilled Employee/Official,Mid-sized city,2
1015,Female,Married,32,Graduate School,171052,management / self-employed / highly qualified employee / officer,Big city,2
1016,Male,Single,64,University,130492,Skilled Employee/Official,Big city,2
1018,Female,Married,55,University,171804,management / self-employed / highly qualified employee / officer,Big city,2
1020,Female,Married,34,Graduate School,134377,Skilled Employee/Official,Big city,2
1021,Male,Married,44,University,146716,Skilled Employee/Official,Mid-sized city,2
1024,Female,Married,56,University,183765,Skilled Employee/Official,Mid-sized city,2
1030,Male,Single,60,University,166298,management / self-employed / highly qualified employee / officer,Mid-sized city,2
1031,Female,Married,30,Graduate School,133328,Unemployed/Unskilled,Big city,2
1032,Male,Single,63,University,129798,Skilled Employee/Official,Mid-sized city,2
1034,Female,Married,46,University,160678,Skilled Employee/Official,Big city,2
1038,Male,Married,54,University,149410,Skilled Employee/Official,Big city,2
1039,Male,Married,49,University,124658,Skilled Employee/Official,Big city,2
1040,Female,Married,64,University,153645,Skilled Employee/Official,Big city,2
1042,Female,Married,57,University,155062,Skilled Employee/Official,Big city,2
1044,Male,Single,62,University,124723,Skilled Employee/Official,Big city,2
1045,Female,Married,41,University,127752,Skilled Employee/Official,Big city,2
1046,Female,Married,51,University,157595,management / self-employed / highly qualified employee / officer,Mid-sized city,2
1047,Female,Married,38,University,135534,Skilled Employee/Official,Big city,2
1048,Female,Married,56,University,166264,management / self-employed / highly qualified employee / officer,Big city,2
1049,Female,Married,43,University,147259,Skilled Employee/Official,Mid-sized city,2
1050,Female,Married,48,University,161116,Skilled Employee/Official,Mid-sized city,2
1051,Male,Single,61,University,139380,Skilled Employee/Official,Mid-sized city,2
1054,Female,Married,62,University,163940,Skilled Employee/Official,Mid-sized city,2
1055,Female,Married,56,University,173378,management / self-employed / highly qualified employee / officer,Big city,2
1056,Female,Married,53,University,126847,Skilled Employee/Official,Mid-sized city,2
1057,Male,Married,33,Graduate School,166712,Skilled Employee/Official,Big city,2
1058,Female,Married,60,University,189166,Skilled Employee/Official,Mid-sized city,2
1059,Female,Married,47,University,161714,Skilled Employee/Official,Mid-sized city,2
1061,Male,Single,64,University,184680,Skilled Employee/Official,Mid-sized city,2
1065,Female,Married,60,University,194532,management / self-employed / highly qualified employee / officer,Mid-sized city,2
1066,Female,Married,57,University,125883,Skilled Employee/Official,Big city,2
1067,Male,Married,30,Graduate School,131242,Skilled Employee/Official,Big city,2
1068,Male,Married,43,University,159880,management / self-employed / highly qualified employee / officer,Mid-sized city,2
1069,Male,Single,57,University,165519,Skilled Employee/Official,Big city,2
1070,Male,Married,51,University,149653,Skilled Employee/Official,Mid-sized city,2
1071,Female,Married,61,University,134102,Skilled Employee/Official,Mid-sized city,2
1072,Male,Single,64,University,159378,management / self-employed / highly qualified employee / officer,Big city,2
1077,Male,Single,59,University,136123,Skilled Employee/Official,Mid-sized city,2
1078,Male,Married,60,University,176372,Skilled Employee/Official,Mid-sized city,2
1079,Female,Married,60,University,128271,Skilled Employee/Official,Mid-sized city,2
1080,Female,Married,45,University,169020,management / self-employed / highly qualified employee / officer,Big city,2
1081,Male,Single,63,University,122267,Skilled Employee/Official,Big city,2
1082,Male,Married,38,Graduate School,169324,management / self-employed / highly qualified employee / officer,Big city,2
1083,Female,Married,46,University,192561,management / self-employed / highly qualified employee / officer,Mid-sized city,2
1084,Male,Married,55,University,145781,Skilled Employee/Official,Big city,2
1085,Male,Married,50,University,135376,Skilled Employee/Official,Mid-sized city,2
1086,Female,Married,30,Graduate School,169002,management / self-employed / highly qualified employee / officer,Big city,2
1087,Male,Single,63,University,128469,Skilled Employee/Official,Big city,2
1089,Female,Married,54,University,170644,management / self-employed / highly qualified employee / officer,Big city,2
1091,Female,Married,32,Graduate School,133235,Skilled Employee/Official,Big city,2
1094,Male,Single,62,University,164816,management / self-employed / highly qualified employee / officer,Mid-sized city,2
1095,Female,Married,28,Graduate School,130148,Unemployed/Unskilled,Big city,2
1098,Female,Married,48,University,157305,Skilled Employee/Official,Big city,2
1100,Male,Single,38,High School,82398,Skilled Employee/Official,Mid-sized city,1
1101,Male,Married,40,High School,107710,Skilled Employee/Official,Mid-sized city,0
1102,Male,Single,49,High School,122346,Skilled Employee/Official,Mid-sized city,1
1103,Male,Married,32,High School,155540,management / self-employed / highly qualified employee / officer,Mid-sized city,0
1104,Male,Single,45,High School,127572,Skilled Employee/Official,Mid-sized city,1
1105,Male,Single,40,High School,154031,management / self-employed / highly qualified employee / officer,Mid-sized city,1
1107,Male,Single,38,High School,123003,Skilled Employee/Official,Big city,1
1108,Male,Married,20,High School,89605,Skilled Employee/Official,Mid-sized city,0
1109,Male,Single,48,High School,117721,Skilled Employee/Official,Mid-sized city,1
1110,Male,Married,46,University,168904,management / self-employed / highly qualified employee / officer,Mid-sized city,2
1111,Male,Single,32,High School,137576,management / self-employed / highly qualified employee / officer,Big city,1
1112,Male,Single,54,High School,111274,Skilled Employee/Official,Mid-sized city,1
1113,Male,Married,24,High School,94249,management / self-employed / highly qualified employee / officer,Big city,0
1114,Male,Married,27,High School,180940,management / self-employed / highly qualified employee / officer,Mid-sized city,0
1115,Male,Single,57,High School,125032,Skilled Employee/Official,Big city,1
1116,Male,Single,38,High School,138011,management / self-employed / highly qualified employee / officer,Mid-sized city,1
1117,Male,Single,40,High School,144850,Skilled Employee/Official,Mid-sized city,1
1118,Male,Married,20,High School,107270,Skilled Employee/Official,Big city,0
1119,Male,Single,36,High School,113405,management / self-employed / highly qualified employee / officer,Big city,1
1120,Male,Single,47,High School,137338,Skilled Employee/Official,Big city,1
1121,Male,Single,64,University,125119,Unemployed/Unskilled,Big city,2
1122,Male,Single,42,High School,159745,management / self-employed / highly qualified employee / officer,Big city,1
1123,Male,Single,44,High School,181262,management / self-employed / highly qualified employee / officer,Big city,1
1124,Male,Married,30,High School,90500,management / self-employed / highly qualified employee / officer,Big city,0
1125,Male,Single,37,High School,102733,Skilled Employee/Official,Mid-sized city,1
1126,Male,Single,42,High School,135493,Skilled Employee/Official,Big city,1
1127,Male,Married,62,University,169044,Skilled Employee/Official,Mid-sized city,2
1128,Male,Single,49,High School,178549,Skilled Employee/Official,Big city,1
1129,Male,Single,52,High School,159716,Skilled Employee/Official,Big city,1
1130,Male,Married,36,High School,170118,management / self-employed / highly qualified employee / officer,Mid-sized city,1
1131,Male,Single,49,High School,143886,Unemployed/Unskilled,Mid-sized city,1
1132,Male,Single,42,High School,130164,management / self-employed / highly qualified employee / officer,Big city,1
1133,Male,Single,38,High School,114476,Skilled Employee/Official,Mid-sized city,1
1134,Male,Single,50,High School,126143,Skilled Employee/Official,Mid-sized city,1
1135,Male,Married,34,High School,129654,management / self-employed / highly qualified employee / officer,Big city,0
1136,Male,Single,43,High School,123202,Skilled Employee/Official,Big city,1
1137,Male,Single,40,High School,160524,Skilled Employee/Official,Mid-sized city,1
1138,Male,Single,56,University,126906,Skilled Employee/Official,Mid-sized city,2
1139,Male,Single,41,High School,143994,management / self-employed / highly qualified employee / officer,Big city,1
1140,Male,Married,30,High School,123517,management / self-employed / highly qualified employee / officer,Big city,0
1141,Male,Married,28,High School,129055,Skilled Employee/Official,Big city,0
1142,Male,Single,64,University,136312,Unemployed/Unskilled,Big city,2
1144,Male,Single,37,High School,152401,management / self-employed / highly qualified employee / officer,Mid-sized city,1
1145,Male,Single,31,High School,157453,management / self-employed / highly qualified employee / officer,Mid-sized city,1
1146,Male,Single,32,High School,142870,management / self-employed / highly qualified employee / officer,Big city,1
1147,Male,Married,52,University,137231,Skilled Employee/Official,Big city,2
1148,Male,Married,31,High School,104406,Skilled Employee/Official,Mid-sized city,0
1149,Male,Single,36,High School,145385,management / self-employed / highly qualified employee / officer,Mid-sized city,1
1150,Male,Married,32,High School,146519,management / self-employed / highly qualified employee / officer,Mid-sized city,0
1151,Male,Single,51,High School,126227,Skilled Employee/Official,Big city,1
1152,Male,Single,47,High School,112227,management / self-employed / highly qualified employee / officer,Mid-sized city,1
1153,Male,Married,34,High School,110145,Skilled Employee/Official,Big city,0
1154,Male,Married,46,University,149419,Skilled Employee/Official,Mid-sized city,2
1155,Male,Married,42,High School,176646,Skilled Employee/Official,Mid-sized city,1
1156,Male,Single,39,High School,91019,management / self-employed / highly qualified employee / officer,Mid-sized city,1
1157,Male,Single,50,High School,169579,Skilled Employee/Official,Big city,1
1158,Male,Single,42,High School,142305,Skilled Employee/Official,Big city,1
1159,Male,Married,36,High School,130602,Skilled Employee/Official,Mid-sized city,0
1160,Male,Married,18,High School,98992,Skilled Employee/Official,Mid-sized city,0
1161,Male,Single,35,High School,181926,management / self-employed / highly qualified employee / officer,Big city,1
1162,Male,Single,38,High School,152864,Skilled Employee/Official,Big city,1
1163,Male,Single,39,High School,135837,management / self-employed / highly qualified employee / officer,Big city,1
1164,Male,Married,24,High School,121757,Unemployed/Unskilled,Big city,0
1165,Male,Single,41,High School,182274,Skilled Employee/Official,Mid-sized city,1
1166,Male,Single,36,High School,149040,management / self-employed / highly qualified employee / officer,Big city,1
1167,Male,Single,37,High School,154196,management / self-employed / highly qualified employee / officer,Big city,1
1168,Male,Married,45,University,135332,Skilled Employee/Official,Mid-sized city,2
1169,Male,Single,41,High School,134200,management / self-employed / highly qualified employee / officer,Big city,1
1170,Male,Single,36,High School,177171,management / self-employed / highly qualified employee / officer,Big city,1
1171,Male,Single,38,High School,115964,Unemployed/Unskilled,Big city,1
1172,Male,Single,38,High School,136871,Unemployed/Unskilled,Mid-sized city,1
1173,Male,Married,53,University,159559,management / self-employed / highly qualified employee / officer,Big city,2
1174,Male,Single,35,High School,113878,Skilled Employee/Official,Big city,1
1175,Male,Single,48,High School,171203,management / self-employed / highly qualified employee / officer,Big city,1
1176,Male,Single,36,High School,102180,Skilled Employee/Official,Big city,1
1177,Male,Married,22,High School,116844,management / self-employed / highly qualified employee / officer,Mid-sized city,0
1178,Male,Single,35,High School,139844,management / self-employed / highly qualified employee / officer,Big city,1
1179,Male,Single,42,High School,156431,Unemployed/Unskilled,Mid-sized city,1
1180,Male,Single,39,High School,116137,Unemployed/Unskilled,Mid-sized city,1
1181,Male,Single,31,High School,143081,Skilled Employee/Official,Mid-sized city,1
1182,Male,Single,33,High School,155870,management / self-employed / highly qualified employee / officer,Big city,1
1183,Male,Married,31,High School,106924,Unemployed/Unskilled,Mid-sized city,3
1184,Male,Single,42,High School,102133,Skilled Employee/Official,Mid-sized city,1
1185,Male,Single,61,University,145227,Unemployed/Unskilled,Mid-sized city,2
1186,Male,Single,38,High School,159500,management / self-employed / highly qualified employee / officer,Big city,1
1187,Male,Single,33,High School,98498,Unemployed/Unskilled,Mid-sized city,3
1188,Male,Single,48,High School,159714,Skilled Employee/Official,Big city,1
1189,Male,Single,31,High School,121852,Unemployed/Unskilled,Mid-sized city,1
1190,Male,Single,52,High School,141271,management / self-employed / highly qualified employee / officer,Big city,1
1191,Male,Married,27,High School,123213,Skilled Employee/Official,Big city,0
1192,Male,Single,40,High School,143723,management / self-employed / highly qualified employee / officer,Mid-sized city,1
1193,Male,Single,34,High School,112538,Unemployed/Unskilled,Mid-sized city,1
1194,Male,Married,26,High School,97932,management / self-employed / highly qualified employee / officer,Big city,0
1195,Male,Single,30,High School,154003,Unemployed/Unskilled,Mid-sized city,1
1196,Male,Single,53,High School,177179,Skilled Employee/Official,Mid-sized city,1
1197,Male,Single,45,High School,128052,Skilled Employee/Official,Big city,1
1198,Male,Single,32,High School,114617,management / self-employed / highly qualified employee / officer,Mid-sized city,1
1199,Male,Single,35,High School,182822,management / self-employed / highly qualified employee / officer,Big city,1
1200,Male,Married,26,High School,177215,Skilled Employee/Official,Big city,0
1201,Male,Single,30,High School,110929,Skilled Employee/Official,Mid-sized city,1
1202,Male,Single,37,High School,111821,Skilled Employee/Official,Mid-sized city,1
1203,Male,Single,32,High School,97306,management / self-employed / highly qualified employee / officer,Mid-sized city,1
1204,Male,Married,40,High School,157231,Skilled Employee/Official,Mid-sized city,1
1205,Male,Single,44,High School,126906,Unemployed/Unskilled,Big city,1
1206,Male,Single,43,High School,133243,Skilled Employee/Official,Big city,1
1207,Male,Single,51,High School,112250,Skilled Employee/Official,Mid-sized city,1
1208,Male,Single,37,High School,104349,Unemployed/Unskilled,Mid-sized city,3
1209,Male,Single,33,High School,151421,Skilled Employee/Official,Big city,1
1210,Male,Married,32,High School,178081,management / self-employed / highly qualified employee / officer,Mid-sized city,0
1211,Male,Single,35,High School,110181,Unemployed/Unskilled,Big city,1
1212,Male,Married,30,High School,113012,Skilled Employee/Official,Mid-sized city,0
1213,Male,Married,35,High School,154585,management / self-employed / highly qualified employee / officer,Big city,1
1214,Male,Single,40,High School,144704,management / self-employed / highly qualified employee / officer,Mid-sized city,1
1215,Male,Single,37,High School,141632,management / self-employed / highly qualified employee / officer,Big city,1
1216,Male,Single,37,High School,105055,Skilled Employee/Official,Big city,1
1217,Male,Single,37,High School,124597,Skilled Employee/Official,Big city,1
1218,Male,Single,53,High School,160164,management / self-employed / highly qualified employee / officer,Mid-sized city,1
1219,Male,Single,34,High School,151754,management / self-employed / highly qualified employee / officer,Mid-sized city,1
1220,Male,Single,51,High School,155551,Skilled Employee/Official,Mid-sized city,1
1221,Male,Married,26,High School,94986,Skilled Employee/Official,Big city,0
1222,Male,Single,34,High School,175800,Unemployed/Unskilled,Mid-sized city,1
1223,Male,Single,51,High School,126246,management / self-employed / highly qualified employee / officer,Mid-sized city,1
1224,Male,Single,33,High School,116261,Skilled Employee/Official,Big city,1
1225,Male,Married,32,High School,117796,Unemployed/Unskilled,Big city,0
1226,Male,Single,39,High School,115363,Skilled Employee/Official,Mid-sized city,1
1227,Male,Single,53,High School,169076,Skilled Employee/Official,Mid-sized city,1
1228,Male,Single,34,High School,97474,management / self-employed / highly qualified employee / officer,Big city,1
1229,Male,Single,37,High School,140341,Skilled Employee/Official,Big city,1
1230,Male,Married,28,High School,114503,Skilled Employee/Official,Mid-sized city,0
1231,Male,Married,25,High School,102937,Skilled Employee/Official,Big city,0
1232,Male,Single,36,High School,151781,management / self-employed / highly qualified employee / officer,Big city,1
1233,Male,Married,36,High School,123133,Skilled Employee/Official,Big city,0
1234,Male,Single,35,High School,118879,Skilled Employee/Official,Big city,1
1235,Male,Married,21,High School,158683,Skilled Employee/Official,Mid-sized city,0
1236,Male,Married,29,High School,107514,Skilled Employee/Official,Big city,0
1237,Male,Single,60,University,193879,Skilled Employee/Official,Mid-sized city,2
1238,Male,Single,45,High School,135043,Skilled Employee/Official,Mid-sized city,1
1239,Male,Married,56,University,108559,Unemployed/Unskilled,Mid-sized city,2
1240,Male,Married,30,High School,121038,Skilled Employee/Official,Big city,0
1241,Male,Single,52,High School,151947,management / self-employed / highly qualified employee / officer,Big city,1
1242,Male,Married,26,High School,118820,Skilled Employee/Official,Mid-sized city,0
1243,Male,Single,43,High School,121517,Skilled Employee/Official,Mid-sized city,1
1244,Male,Single,34,High School,113572,Skilled Employee/Official,Mid-sized city,1
1245,Male,Married,22,High School,131170,Skilled Employee/Official,Big city,0
1246,Male,Single,42,High School,92430,Unemployed/Unskilled,Mid-sized city,3
1247,Male,Single,38,High School,124554,Unemployed/Unskilled,Mid-sized city,1
1248,Male,Married,29,High School,115988,Skilled Employee/Official,Big city,0
1249,Male,Single,44,High School,107301,Skilled Employee/Official,Big city,1
1250,Male,Married,29,High School,103767,management / self-employed / highly qualified employee / officer,Mid-sized city,0
1251,Male,Single,44,High School,141493,Skilled Employee/Official,Big city,1
1252,Male,Single,38,High School,154339,Skilled Employee/Official,Big city,1
1253,Male,Married,26,High School,112369,Unemployed/Unskilled,Mid-sized city,0
1254,Male,Single,53,High School,158193,Skilled Employee/Official,Mid-sized city,1
1255,Male,Single,43,High School,143734,Skilled Employee/Official,Mid-sized city,1
1256,Male,Single,33,High School,121890,Skilled Employee/Official,Mid-sized city,1
1257,Male,Single,52,High School,127609,Unemployed/Unskilled,Mid-sized city,1
1258,Male,Married,26,High School,94650,Unemployed/Unskilled,Big city,0
1259,Male,Single,38,High School,175504,management / self-employed / highly qualified employee / officer,Mid-sized city,1
1260,Male,Single,47,High School,165495,Skilled Employee/Official,Big city,1
1261,Male,Married,26,High School,120389,Skilled Employee/Official,Mid-sized city,0
1262,Male,Married,36,High School,165340,Skilled Employee/Official,Mid-sized city,0
1263,Male,Single,36,High School,119804,Skilled Employee/Official,Mid-sized city,1
1264,Male,Single,57,University,154344,management / self-employed / highly qualified employee / officer,Mid-sized city,2
1265,Male,Married,31,High School,106266,management / self-employed / highly qualified employee / officer,Big city,0
1266,Male,Single,45,High School,136129,Skilled Employee/Official,Mid-sized city,1
1267,Male,Single,40,High School,151914,management / self-employed / highly qualified employee / officer,Mid-sized city,1
1268,Male,Married,21,High School,121473,Skilled Employee/Official,Mid-sized city,0
1269,Male,Single,46,High School,127147,Skilled Employee/Official,Big city,1
1270,Male,Single,35,High School,125387,Skilled Employee/Official,Big city,1
1271,Male,Married,31,High School,139490,Unemployed/Unskilled,Big city,0
1272,Male,Single,51,High School,124990,Skilled Employee/Official,Big city,1
1273,Male,Married,21,High School,101471,management / self-employed / highly qualified employee / officer,Mid-sized city,0
1274,Male,Single,48,High School,155708,Skilled Employee/Official,Mid-sized city,1
